Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","1735","Vegetables Primary","1964","1964","ha","164400","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","1735","Vegetables Primary","1964","1964","hg/ha","50985","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice","1964","1964","ha","9228955","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice","1964","1964","hg/ha","17070","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","15","Wheat","1964","1964","ha","5019000","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","15","Wheat","1964","1964","hg/ha","8292","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","1735","Vegetables Primary","1964","1964","ha","122500","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","1735","Vegetables Primary","1964","1964","hg/ha","59233","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","27","Rice","1964","1964","ha","1355712","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","27","Rice","1964","1964","hg/ha","14937","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","15","Wheat","1965","1965","ha","13422000","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","15","Wheat","1965","1965","hg/ha","9132","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1735","Vegetables Primary","1965","1965","ha","3134400","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1735","Vegetables Primary","1965","1965","hg/ha","67863","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","27","Rice","1965","1965","ha","35470000","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","27","Rice","1965","1965","hg/ha","12936","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","15","Wheat","1965","1965","ha","53419","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","15","Wheat","1965","1965","hg/ha","6467","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","1735","Vegetables Primary","1965","1965","ha","164850","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","1735","Vegetables Primary","1965","1965","hg/ha","54941","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice","1965","1965","ha","9360480","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice","1965","1965","hg/ha","16827","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","15","Wheat","1965","1965","ha","5318000","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","15","Wheat","1965","1965","hg/ha","8631","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","1735","Vegetables Primary","1965","1965","ha","111000","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","1735","Vegetables Primary","1965","1965","hg/ha","65234","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","27","Rice","1965","1965","ha","1393348","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","27","Rice","1965","1965","hg/ha","14174","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","15","Wheat","1966","1966","ha","12572000","A","Official figure"
